PACKING / WEIGHT LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Style No,,DM8681,,,Cust Style No,,1361602,,,Buyer,,????,,,,,CBM,,,Export Date,,,,,,,,,,,
Description,,,,,,,,,,,,,,,,,,,,Total QTY,,,1320,,,,,,,,
Processing,,VBMU003,,,,,,,,,,,,,,,,,,Total CTN,,,13,,,,,,,,
PO#,,428422,,,,,,,,,,,,,,,,,,Total NNW,,,,,,,,,,,
Carton DIM.,,,,,,,,,,,,,,,,,,,,Total NW,,,,,,,,,,,
Comments,,,,,,,,,,,,,,,,,,,,Total GW,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KG,,,,,XS,SM,,MD,LG,XL,,XXL,3XL,4XL,XLT,XXLT,,3XLT,4XLT,,,,,,,,,,,,
NW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NNW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carton No,,,Description of Goods,,8.5,11,,7.5,10,QTY,,NNW,NW,GW,Comments,,,,,,,,,,,,,,,,
9,,1,001 Black / / White,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
7-Jan,,7,001 Black / / White,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,
12,,1,001 Black / / White,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
8,,1,001 Black / / White,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
11,,1,001 Black / / White,,,,,5,,5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processing,,PO / Country,,,Description of Goods,,,,XS,SM,,MD,LG,XL,XXL,3XL,,4XL,XLT,,,XXLT,,3XLT,,,,4XLT,,,Total
VBMU003C-A37,,"4214908422
United Kingdom",,,001 Black / / White,,,,,180,,,880,80,180,,,,,,,,,,,,,,,,"1,320"
,,,,,,,,,,180,,,880,80,180,,,,,,,,,,,,,,,,"1,320"
,,,,,,,,,0,0,,0,0,0,0,0,,0,0,,,0,,0,,,,0,,,
,,,,,PO Total (PK),,,,,180,,,880,80,180,,,,,,,,,,,,,,,,"1,320"
,,,,,Total (PK),,,,0,180,,0,880,80,180,0,,0,0,,,0,,0,,,,0,,,"1,320"
