PACKING / WEIGHT LIST,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Style No,,123456,,,Cust Style No,,,,,Buyer,,,,,,,,CBM,,,Export Date,
Description,,,,,,,,,,,,,,,,,,,,,Total QTY,426
Processing,,VB213567,,,,,,,,,,,,,,,,,,,Total CTN,11
PO#,,4212279413,,,,,,,,,,,,,,,,,,,Total NNW,48.59
Carton DIM.,,"04Q [12.000 x 9.000 x 6.000"" ](1),04T [23.600 x 14.000 x 8.000"" ](10)",,,,,,,,,,,,,,,,,,,Total NW,52.85
Comments,,,,,,,,,,,,,,,,,,,,,Total GW,61.68
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
KG,,,,,XXS,XS,,SM,MD,LG,,XL,XXL,,,,,,,,,
NW,,,,,0.097,0.108,,0.119,0.128,0.139,,0.149,0.159,,,,,,,,,
NNW,,,,,0.087,0.098,,0.109,0.118,0.129,,0.139,0.149,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Carton No,,,Description of Goods,,XS,SM,,MD,LG,QTY,,NNW,NW,,GW,Comments,,,,,,
9,,1,419 Capri / / Fuse Teal Atoll Print,,50,,,,,50,,4.9,5.4,,6.25,04T 23.6x14.0x8.0in ,,,,,,
,,,,,,,,,,50,,4.9,5.4,,6.25,,,,,,,
2-Jan,,2,419 Capri / / Fuse Teal Atoll Print,,,50,,,,50,,5.45,5.95,,6.8,04T 23.6x14.0x8.0in ,,,,,,
,,,,,,,,,,100,,10.9,11.9,,13.6,,,,,,,
6-Apr,,3,419 Capri / / Fuse Teal Atoll Print,,,,,45,,45,,5.31,5.76,,6.61,04T 23.6x14.0x8.0in ,,,,,,
,,,,,,,,,,135,,15.93,17.28,,19.83,,,,,,,
7,,1,419 Capri / / Fuse Teal Atoll Print,,,,,,45,45,,5.805,6.255,,7.105,04T 23.6x14.0x8.0in ,,,,,,
,,,,,,,,,,45,,5.805,6.255,,7.105,,,,,,,
10,,1,419 Capri / / Fuse Teal Atoll Print,,14,,,,,14,,1.372,1.512,,2.362,04T 23.6x14.0x8.0in ,,,,,,
,,,,,,,,,,14,,1.372,1.512,,2.362,,,,,,,
3,,1,419 Capri / / Fuse Teal Atoll Print,,,42,,,,42,,4.578,4.998,,5.848,04T 23.6x14.0x8.0in ,,,,,,
,,,,,,,,,,42,,4.578,4.998,,5.848,,,,,,,
11,,1,419 Capri / / Fuse Teal Atoll Print,,,,,5,,5,,0.59,0.64,,0.97,04Q 12.0x9.0x6.0in ,,,,,,
,,,,,,,,,,5,,0.59,0.64,,0.97,,,,,,,
8,,1,419 Capri / / Fuse Teal Atoll Print,,,,,,35,35,,4.515,4.865,,5.715,04T 23.6x14.0x8.0in ,,,,,,
,,,,,,,,,,35,,4.515,4.865,,5.715,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Processing,,PO / Country,,,Description of Goods,,,,XXS,XS,,SM,MD,,LG,XL,XXL,,Total,,,
VB211215-3,,"4212271844
",,,,,,,,64,,142,140,,80,,,,426,,,
,,,,,,,,,,64,,142,140,,80,,,,426,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,PO Total (PK),,,,,64,,142,140,,80,,,,426,,,
,,,,,Total (PK),,,,,64,,142,140,,80,,,,426,,,
